date,heure,timestamp,parking,relais_ok
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Antigone",1
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Comedie",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Corum",1
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Europa",1
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Foch",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Gambetta",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Gare",1
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Triangle",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Pitot",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Circe",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Garcia Lorca",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Mosson",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Sabines",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Sablassou",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Saint Jean Le Sec",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Euromedecine",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Occitanie",1
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Vicarello",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Gaumont EST",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Gaumont OUEST",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Charles de Gaulle",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Polygone",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Arc de Triomphe",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,"Gaumont-Circe",0
2026-04-29,00:35:10,2026-04-29T00:35:10+02:00,RESUME,0.20833333333333334
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Antigone",1
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Comedie",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Corum",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Europa",1
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Foch",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Gambetta",1
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Gare",1
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Triangle",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Pitot",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Circe",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Garcia Lorca",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Mosson",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Sabines",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Sablassou",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Saint Jean Le Sec",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Euromedecine",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Occitanie",1
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Vicarello",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Gaumont EST",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Gaumont OUEST",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Charles de Gaulle",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Polygone",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Arc de Triomphe",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,"Gaumont-Circe",0
2026-04-29,01:59:01,2026-04-29T01:59:01+02:00,RESUME,0.20833333333333334
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Antigone",1
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Comedie",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Corum",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Europa",1
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Foch",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Gambetta",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Gare",1
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Triangle",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Pitot",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Circe",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Garcia Lorca",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Mosson",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Sabines",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Sablassou",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Saint Jean Le Sec",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Euromedecine",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Occitanie",1
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Vicarello",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Gaumont EST",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Gaumont OUEST",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Charles de Gaulle",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Polygone",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Arc de Triomphe",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,"Gaumont-Circe",0
2026-04-29,04:54:41,2026-04-29T04:54:41+02:00,RESUME,0.16666666666666666
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Antigone",1
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Comedie",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Corum",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Europa",1
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Foch",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Gambetta",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Gare",1
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Triangle",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Pitot",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Circe",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Garcia Lorca",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Mosson",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Sabines",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Sablassou",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Saint Jean Le Sec",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Euromedecine",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Occitanie",1
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Vicarello",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Gaumont EST",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Gaumont OUEST",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Charles de Gaulle",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Polygone",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Arc de Triomphe",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,"Gaumont-Circe",0
2026-04-29,07:58:24,2026-04-29T07:58:24+02:00,RESUME,0.16666666666666666
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Antigone",1
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Comedie",1
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Corum",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Europa",1
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Foch",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Gambetta",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Gare",1
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Triangle",1
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Pitot",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Circe",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Garcia Lorca",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Mosson",0
2026-04-29,10:21:57,2026-04-29T10:21:57+02:00,"Sabines",0
