date,heure,timestamp,type,nom,velos_dispo,bornes_libres,total,taux_occupation_places,lat,lon
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Rue Jules Ferry - Gare Saint-Roch",2,10,12,0.16666666666666666,43.605366,3.881346
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Comédie",7,13,20,0.35,43.608148,3.878778
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Hôtel de Ville",10,5,16,0.6875,43.599088,3.894866
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Corum",7,5,12,0.5833333333333334,43.613989,3.8816
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Place Albert 1er - St Charles",11,16,27,0.4074074074074074,43.616768,3.873375
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Foch",4,4,8,0.5,43.610989,3.873345
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Halles Castellane",0,12,12,0.0,43.609935,3.877208
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Observatoire",2,5,8,0.375,43.606301,3.87724
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Rondelet",2,14,16,0.125,43.603038,3.875796
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Plan Cabanes",5,7,12,0.4166666666666667,43.608491,3.868389
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Boutonnet",2,10,12,0.16666666666666666,43.622629,3.868375
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Emile Combes",4,4,8,0.5,43.616742,3.87998
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Beaux-Arts",15,1,16,0.9375,43.616698,3.884981
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Les Aubes",2,6,8,0.25,43.618692,3.893844
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Antigone centre",7,5,12,0.5833333333333334,43.607942,3.890634
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Médiathèque Emile Zola",11,5,16,0.6875,43.608218,3.89314
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Nombre d Or",4,12,16,0.25,43.607859,3.886644
2026-03-16,00:34:52,2026-03-16T00:34:52+01:00,STATION,"Louis Blanc",5,11,16,0.3125,43.614642,3.877648
