date,heure,timestamp,parking,relais_ok
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Antigone",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Comedie",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Corum",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Europa",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Foch",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Gambetta",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Gare",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Triangle",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Pitot",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Circe",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Garcia Lorca",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Mosson",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Sabines",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Sablassou",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Saint Jean Le Sec",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Euromedecine",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Occitanie",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Vicarello",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Gaumont EST",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Gaumont OUEST",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Charles de Gaulle",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Polygone",1
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Arc de Triomphe",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,"Gaumont-Circe",0
2026-03-09,00:25:17,2026-03-09T00:25:17+01:00,RESUME,0.25
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Antigone",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Comedie",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Corum",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Europa",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Foch",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Gambetta",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Gare",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Triangle",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Pitot",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Circe",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Garcia Lorca",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Mosson",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Sabines",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Sablassou",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Saint Jean Le Sec",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Euromedecine",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Occitanie",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Vicarello",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Gaumont EST",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Gaumont OUEST",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Charles de Gaulle",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Polygone",1
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Arc de Triomphe",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,"Gaumont-Circe",0
2026-03-09,00:48:34,2026-03-09T00:48:34+01:00,RESUME,0.25
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Antigone",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Comedie",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Corum",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Europa",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Foch",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Gambetta",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Gare",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Triangle",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Pitot",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Circe",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Garcia Lorca",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Mosson",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Sabines",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Sablassou",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Saint Jean Le Sec",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Euromedecine",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Occitanie",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Vicarello",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Gaumont EST",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Gaumont OUEST",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Charles de Gaulle",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Polygone",1
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Arc de Triomphe",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,"Gaumont-Circe",0
2026-03-09,03:08:06,2026-03-09T03:08:06+01:00,RESUME,0.25
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Antigone",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Comedie",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Corum",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Europa",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Foch",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Gambetta",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Gare",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Triangle",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Pitot",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Circe",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Garcia Lorca",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Mosson",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Sabines",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Sablassou",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Saint Jean Le Sec",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Euromedecine",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Occitanie",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Vicarello",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Gaumont EST",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Gaumont OUEST",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Charles de Gaulle",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Polygone",1
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Arc de Triomphe",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,"Gaumont-Circe",0
2026-03-09,05:30:39,2026-03-09T05:30:39+01:00,RESUME,0.25
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Antigone",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Comedie",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Corum",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Europa",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Foch",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Gambetta",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Gare",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Triangle",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Pitot",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Circe",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Garcia Lorca",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Mosson",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Sabines",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Sablassou",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Saint Jean Le Sec",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Euromedecine",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Occitanie",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Vicarello",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Gaumont EST",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Gaumont OUEST",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Charles de Gaulle",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Polygone",1
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Arc de Triomphe",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,"Gaumont-Circe",0
2026-03-09,06:43:38,2026-03-09T06:43:38+01:00,RESUME,0.25
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Antigone",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Comedie",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Corum",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Europa",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Foch",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Gambetta",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Gare",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Triangle",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Pitot",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Circe",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Garcia Lorca",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Mosson",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Sabines",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Sablassou",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Saint Jean Le Sec",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Euromedecine",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Occitanie",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Vicarello",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Gaumont EST",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Gaumont OUEST",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Charles de Gaulle",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Polygone",1
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Arc de Triomphe",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,"Gaumont-Circe",0
2026-03-09,08:03:12,2026-03-09T08:03:12+01:00,RESUME,0.25
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Antigone",1
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Comedie",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Corum",1
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Europa",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Foch",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Gambetta",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Gare",1
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Triangle",1
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Pitot",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Circe",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Garcia Lorca",0
2026-03-09,09:04:01,2026-03-09T09:04:01+01:00,"Mosson",0
